Protocol,Round,ConsensusError,GradientNorm,Normalized_Energy
Ours,0,7.2151885826271185,0.5028410780970904,0.9977410475636886
Ours,1,6.135365050401199,0.19506820901992078,0.9964912540295068
Ours,2,5.321772212448643,0.13959051446281875,0.9951762661886142
Ours,3,4.8705310758828055,0.1110409015446655,0.9938620190804554
Ours,4,4.504710111674413,0.09154944080433146,0.9925492761512507
Ours,5,4.408232909673558,0.0785934888224751,0.9912373960200617
Ours,6,4.336862144279272,0.0714668885866784,0.9899260829791027
Ours,7,4.259463308100627,0.07041570146416716,0.9886151811998618
Ours,8,4.177823674545303,0.0692709980898224,0.9873045985449745
Ours,9,4.0935715860901984,0.06805781800753276,0.9859942752364766
Ours,10,4.008089593858924,0.0668028222858209,0.9846841695944145
Ours,11,3.9224990595812192,0.06553060354877614,0.9833742509101121
Ours,12,3.8376782299777217,0.06426192309947895,0.9820644955817658
Ours,13,3.7542937964802645,0.06301319628152843,0.9807548848687463
Ours,14,3.672835706570032,0.06179668341386315,0.9794454035079898
Ours,15,3.5936502757634448,0.060621017351699245,0.9781360388179968
Ours,16,3.516969482387714,0.059491842995421255,0.9768267800930731
Ours,17,3.4429358102069214,0.05841244558345944,0.9755176181781487
Ours,18,3.3716227431634516,0.05738430915691926,0.9742085451604772
Ours,19,3.3030513498302585,0.056407584389211084,0.9728995541397021
Ours,20,3.2372035117592097,0.05548146526503368,0.9715906390522404
Ours,21,3.1740323555129453,0.05460448371922965,0.9702817945343385
Ours,22,3.1134704014153654,0.05377473489316011,0.9689730158134956
Ours,23,3.0554358748172783,0.05299004600035094,0.9676642986210758
Ours,24,2.9998375546691918,0.05224810060762608,0.9663556391211131
Ours,25,2.946578467611596,0.051546528379293764,0.9650470338517025
Ours,26,2.895558677119463,0.05088296849480185,0.9637384796762966
Ours,27,2.8466773674377706,0.05025511326794156,0.9624299737429131
Ours,28,2.7998343808041453,0.04966073705750379,0.9611215134496993
Ours,29,2.7549313328852487,0.04909771438003065,0.9598130964157124
