Protocol,Round,ConsensusError,GradientNorm,Normalized_Energy
Ours,0,11.234,0.534,0.997
Ours,1,10.512,0.312,0.996
Ours,2,9.845,0.293,0.995
Ours,3,9.231,0.268,0.994
Ours,4,8.672,0.241,0.992
Ours,5,8.165,0.215,0.991
Ours,6,7.706,0.192,0.99
Ours,7,7.292,0.173,0.988
Ours,8,6.919,0.157,0.987
Ours,9,6.583,0.143,0.985
Ours,10,6.279,0.131,0.984
Ours,11,6.004,0.121,0.982
Ours,12,5.755,0.112,0.981
Ours,13,5.528,0.104,0.979
Ours,14,5.321,0.097,0.977
Ours,15,5.132,0.091,0.976
Ours,16,4.958,0.086,0.974
Ours,17,4.798,0.081,0.972
Ours,18,4.65,0.076,0.971
Ours,19,4.513,0.072,0.969
Ours,20,4.385,0.068,0.967
Ours,21,4.266,0.065,0.966
Ours,22,4.155,0.062,0.964
Ours,23,4.051,0.059,0.962
Ours,24,3.953,0.056,0.961
Ours,25,3.861,0.053,0.959
Ours,26,3.774,0.051,0.957
Ours,27,3.692,0.049,0.956
Ours,28,3.614,0.047,0.954
Ours,29,3.54,0.045,0.952
Ours,30,3.47,0.043,0.951
