Protocol,Run,Delivery_Ratio,Latency_ms,Packet_Loss_Rate
LEACH,1,0.582,45.2,0.418
LEACH,2,0.568,47.1,0.432
LEACH,3,0.575,46.3,0.425
LEACH,4,0.561,48.5,0.439
LEACH,5,0.589,44.8,0.411
LEACH,6,0.554,49.2,0.446
LEACH,7,0.578,45.9,0.422
LEACH,8,0.563,47.8,0.437
LEACH,9,0.57,46.5,0.43
LEACH,10,0.585,44.5,0.415
HEED,1,0.412,52.3,0.588
HEED,2,0.398,54.1,0.602
HEED,3,0.405,53.2,0.595
HEED,4,0.389,55.4,0.611
HEED,5,0.418,51.8,0.582
HEED,6,0.395,54.8,0.605
HEED,7,0.408,52.9,0.592
HEED,8,0.392,55.1,0.608
HEED,9,0.401,53.6,0.599
HEED,10,0.415,51.5,0.585
Ours,1,0.735,38.2,0.265
Ours,2,0.718,40.5,0.282
Ours,3,0.742,37.8,0.258
Ours,4,0.725,39.4,0.275
Ours,5,0.712,41.2,0.288
Ours,6,0.748,37.1,0.252
Ours,7,0.721,39.8,0.279
Ours,8,0.738,38.5,0.262
Ours,9,0.715,40.8,0.285
Ours,10,0.731,38.9,0.269
