Protocol,Round,Normalized_Energy,Std
LEACH,0,1.0,0.0
LEACH,1,0.991,0.002
LEACH,2,0.981,0.003
LEACH,3,0.97,0.004
LEACH,4,0.958,0.005
LEACH,5,0.945,0.006
LEACH,6,0.931,0.007
LEACH,7,0.916,0.008
LEACH,8,0.9,0.009
LEACH,9,0.883,0.01
LEACH,10,0.865,0.011
LEACH,11,0.846,0.012
LEACH,12,0.826,0.013
LEACH,13,0.805,0.014
LEACH,14,0.783,0.015
LEACH,15,0.76,0.016
LEACH,16,0.736,0.017
LEACH,17,0.711,0.018
LEACH,18,0.685,0.019
LEACH,19,0.658,0.02
LEACH,20,0.63,0.021
HEED,0,1.0,0.0
HEED,1,0.993,0.001
HEED,2,0.985,0.002
HEED,3,0.976,0.003
HEED,4,0.966,0.004
HEED,5,0.955,0.005
HEED,6,0.943,0.006
HEED,7,0.93,0.007
HEED,8,0.916,0.008
HEED,9,0.901,0.009
HEED,10,0.885,0.01
HEED,11,0.868,0.011
HEED,12,0.85,0.012
HEED,13,0.831,0.013
HEED,14,0.811,0.014
HEED,15,0.79,0.015
HEED,16,0.768,0.016
HEED,17,0.745,0.017
HEED,18,0.721,0.018
HEED,19,0.696,0.019
HEED,20,0.67,0.02
Ours,0,1.0,0.0
Ours,1,0.997,0.001
Ours,2,0.994,0.001
Ours,3,0.99,0.002
Ours,4,0.986,0.002
Ours,5,0.982,0.003
Ours,6,0.977,0.003
Ours,7,0.972,0.004
Ours,8,0.967,0.004
Ours,9,0.961,0.005
Ours,10,0.955,0.005
Ours,11,0.949,0.006
Ours,12,0.942,0.006
Ours,13,0.935,0.007
Ours,14,0.928,0.007
Ours,15,0.92,0.008
Ours,16,0.912,0.008
Ours,17,0.904,0.009
Ours,18,0.895,0.009
Ours,19,0.886,0.01
Ours,20,0.877,0.01
